run_dir,arm,model,tier,budget_CU,run_index,steps,full_decision_correct,decision_stable_CU,decision_stable_CU_quoted,quote_inflation_CU,final_used_CU,overrun_CU,overrun_fraction,stop_mode,budget_remaining_at_stop,why_stop
E2_llm_agent_anonymous_B175_r19_c1e2_20260911T054018Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,19,15,0,,,,175.0,,,budget_exhausted,0.0,budget_exhausted (3 consecutive unaffordable actions)
E2_llm_agent_anonymous_B175_r1_c1e2_20260911T053408Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,1,9,0,,,,174.0,,,budget_exhausted,1.0,budget_exhausted (3 consecutive unaffordable actions)
E2_llm_agent_anonymous_B175_r2_c1e2_20260911T053423Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,2,13,0,,,,152.0,,,budget_exhausted,23.0,budget_exhausted (3 consecutive unaffordable actions)
E2_llm_agent_anonymous_B175_r3_c1e2_20260911T053438Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,3,14,0,,,,174.0,,,budget_exhausted,1.0,budget_exhausted (3 consecutive unaffordable actions)
E2_llm_agent_anonymous_B175_r4_c1e2_20260911T053454Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,4,9,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E2_llm_agent_anonymous_B175_r5_c1e2_20260911T053508Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,5,14,0,,,,174.0,,,self_stop,1.0,"agent STOP: S1 and S2 are satisfied for the optimized/validated set: a feasible lowest-cost candidate exists, and candidate_15 has been exactly screened as domi"
E2_llm_agent_anonymous_B175_r6_c1e2_20260911T053542Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,6,9,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E2_llm_agent_anonymous_B175_r7_c1e2_20260911T053556Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,7,9,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E2_llm_agent_anonymous_B175_r8_c1e2_20260911T053609Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,8,13,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E2_llm_agent_anonymous_B175_r9_c1e2_20260911T053626Z,E2,gpt-5.4-mini-2026-03-17,mini,175.0,9,16,0,,,,154.0,,,budget_exhausted,21.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r0_c1_20260910T033227Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,0,5,0,,,,140.0,,,self_stop,35.0,"agent STOP: User requested STOP or exactly one tool. I am stopping with the best available optimized candidate found so far, but the result is incomplete becaus"
E_llm_agent_anonymous_B175_r10_c1_20260910T033608Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,10,9,0,,,,175.0,,,budget_exhausted,0.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r11_c1_20260910T033615Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,11,9,0,,,,157.0,,,self_stop,18.0,agent STOP: The industrial winner is identified and feasible. The remaining unresolved candidates cannot be optimized with the available budget because OPTIMIZE
E_llm_agent_anonymous_B175_r12_c1_20260910T033653Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,12,7,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r13_c1_20260910T033707Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,13,6,0,,,,175.0,,,self_stop,0.0,agent STOP: Budget exhausted; STOP is the only valid allowed action.
E_llm_agent_anonymous_B175_r14_c1_20260910T033731Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,14,7,0,,,,155.0,,,self_stop,20.0,agent STOP: The current feasible optimized candidate is identified and further exact analyses required by the stopping rule are not affordable under the remaini
E_llm_agent_anonymous_B175_r15_c1_20260910T033754Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,15,9,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r16_c1_20260910T033810Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,16,5,0,,,,155.0,,,malformed,20.0,malformed_action_limit (no tool call after reminders)
E_llm_agent_anonymous_B175_r17_c1_20260910T033838Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,17,13,0,,,,169.0,,,budget_exhausted,6.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r18_c1_20260910T033852Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,18,10,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r19_c1_20260910T033901Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,19,9,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r1_c1_20260910T033247Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,1,10,0,,,,157.0,,,self_stop,18.0,"agent STOP: I have a feasible lowest-cost candidate, but the exact parity/reachability chain for the highest-activity candidate is incomplete, and budget-constr"
E_llm_agent_anonymous_B175_r2_c1_20260910T033319Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,2,8,0,,,,169.0,,,budget_exhausted,6.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r3_c1_20260910T033331Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,3,6,0,,,,155.0,,,self_stop,20.0,agent STOP: Budget exhaustion prevents optimizing the only remaining plausible challenger candidate_04. No affordable action now can compute the required parity
E_llm_agent_anonymous_B175_r4_c1_20260910T033354Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,4,9,0,,,,155.0,,,self_stop,20.0,"agent STOP: Remaining budget (20 CU) is below the 29 CU required for any further OPTIMIZE_PROCESS call, and the outstanding parity/reachability analysis cannot "
E_llm_agent_anonymous_B175_r5_c1_20260910T033425Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,5,6,0,,,,155.0,,,self_stop,20.0,"agent STOP: A feasible optimized industrial candidate has been identified, but exact dominance/parity/reachability for the highest-activity rival cannot be comp"
E_llm_agent_anonymous_B175_r6_c1_20260910T033446Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,6,8,0,,,,169.0,,,budget_exhausted,6.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r7_c1_20260910T033458Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,7,14,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r8_c1_20260910T033511Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,8,8,0,,,,155.0,,,self_stop,20.0,"agent STOP: No feasible optimized candidate has been identified yet, and the remaining budget is insufficient for direct optimization of any additional candidat"
E_llm_agent_anonymous_B175_r9_c1_20260910T033534Z,E,gpt-5.4-mini-2026-03-17,mini,175.0,9,7,0,,,,169.0,,,self_stop,6.0,agent STOP: Budget remaining is insufficient for another high-value decisive optimization. The remaining affordable actions cannot complete the required parity/
E_llm_agent_anonymous_B225_r0_c1_20260910T033227Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,0,12,1,216.0,216.0,0.0,216.0,0.0,0.0,self_stop,9.0,"agent STOP: Stopping because the lowest-cost feasible candidate is identified, the highest-activity candidate has been parity-tested and classified unreachable,"
E_llm_agent_anonymous_B225_r10_c1_20260910T033634Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,10,12,1,189.0,189.0,0.0,218.0,29.0,0.13302752293577982,self_stop,7.0,"agent STOP: Stopping rule satisfied: feasible winner identified, all candidates resolved or screened, and parity/reachability classified for the highest-activit"
E_llm_agent_anonymous_B225_r11_c1_20260910T033712Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,11,11,0,,,,213.0,,,budget_exhausted,12.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B225_r12_c1_20260910T033721Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,12,11,1,189.0,189.0,0.0,217.0,28.0,0.12903225806451613,self_stop,8.0,"agent STOP: Stopping rule satisfied: a feasible optimized incumbent exists, all candidates are resolved by optimization or exact screening, and the highest-acti"
E_llm_agent_anonymous_B225_r13_c1_20260910T033758Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,13,11,0,,,,213.0,,,budget_exhausted,12.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B225_r14_c1_20260910T033812Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,14,10,0,,,,204.0,,,budget_exhausted,21.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B225_r15_c1_20260910T033820Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,15,10,1,189.0,189.0,0.0,218.0,29.0,0.13302752293577982,self_stop,7.0,agent STOP: Stopping rule satisfied; no further computation can change the industrial decision.
E_llm_agent_anonymous_B225_r16_c1_20260910T033854Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,16,8,0,,,,214.0,,,self_stop,11.0,"agent STOP: The feasible industrial winner is identified and the optimized candidate set is complete, so the industrial decision is stable. The only missing ite"
E_llm_agent_anonymous_B225_r17_c1_20260910T033925Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,17,11,0,,,,213.0,,,budget_exhausted,12.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B225_r18_c1_20260910T033934Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,18,11,0,,,,213.0,,,budget_exhausted,12.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B225_r19_c1_20260910T033943Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,19,22,0,,,,205.0,,,self_stop,20.0,"agent STOP: The decision is stable enough under the stopping rule: a feasible optimized candidate exists, the highest-activity candidate is the industrial choic"
E_llm_agent_anonymous_B225_r1_c1_20260910T033313Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,1,8,0,,,,198.0,,,self_stop,27.0,"agent STOP: No admissible nonzero-cost optimization remains within budget, and the best current feasible candidate is candidate_13."
E_llm_agent_anonymous_B225_r2_c1_20260910T033347Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,2,14,0,,,,206.0,,,self_stop,19.0,agent STOP: 
E_llm_agent_anonymous_B225_r3_c1_20260910T033405Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,3,8,0,,,,198.0,,,budget_exhausted,27.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B225_r4_c1_20260910T033417Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,4,10,1,218.0,218.0,0.0,218.0,0.0,0.0,self_stop,7.0,"agent STOP: Stopping rule satisfied: a feasible optimized incumbent exists (S1), all candidates are now resolved by optimization/screening (S2), and the highest"
E_llm_agent_anonymous_B225_r5_c1_20260910T033446Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,5,7,0,,,,198.0,,,self_stop,27.0,"agent STOP: No affordable action remained that could plausibly change the industrial choice; budget was below the cost of another optimization, and the only che"
E_llm_agent_anonymous_B225_r6_c1_20260910T033509Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,6,10,0,,,,204.0,,,self_stop,21.0,"agent STOP: Budget remaining is insufficient to optimize candidate_15, so the required parity/reachability classification cannot be completed; the feasible winn"
E_llm_agent_anonymous_B225_r7_c1_20260910T033540Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,7,10,0,,,,204.0,,,budget_exhausted,21.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B225_r8_c1_20260910T033550Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,8,8,0,,,,198.0,,,budget_exhausted,27.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B225_r9_c1_20260910T033603Z,E,gpt-5.4-mini-2026-03-17,mini,225.0,9,9,1,187.0,187.0,0.0,187.0,0.0,0.0,self_stop,38.0,agent STOP: Stopping rule S1 is satisfied because a feasible lowest-cost candidate exists. S3 is satisfied because the highest-activity candidate differs from t
E_llm_agent_anonymous_B300_r0_c1mini300_20260911T103503Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,0,16,0,,,,300.0,,,self_stop,0.0,agent STOP: User requested STOP after the decision was already established; no further action is needed.
E_llm_agent_anonymous_B300_r10_c1mini300_20260911T103957Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,10,13,1,247.0,247.0,0.0,247.0,0.0,0.0,self_stop,53.0,"agent STOP: Stopping rule satisfied: a feasible optimized candidate exists, all relevant unresolved candidates were resolved by optimization or screening, and t"
E_llm_agent_anonymous_B300_r11_c1mini300_20260911T104021Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,11,9,1,216.0,216.0,0.0,216.0,0.0,0.0,self_stop,84.0,agent STOP: 
E_llm_agent_anonymous_B300_r12_c1mini300_20260911T104056Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,12,13,1,189.0,189.0,0.0,189.0,0.0,0.0,self_stop,111.0,"agent STOP: Stopping rule satisfied in practice: a feasible lowest-cost candidate exists, the highest-activity-vs-lowest-cost parity and reachability check has "
E_llm_agent_anonymous_B300_r13_c1mini300_20260911T104118Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,13,13,0,,,,292.0,,,self_stop,8.0,agent STOP: A feasible optimized candidate exists and the industrial winner is identified; the best available counterfactual parity probe showed a non-parity re
E_llm_agent_anonymous_B300_r14_c1mini300_20260911T104153Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,14,17,0,,,,253.0,,,self_stop,47.0,"agent STOP: Stopping rule satisfied: a feasible optimized candidate exists (S1), all candidates are either optimized or screened infeasible/dominated (S2), and "
E_llm_agent_anonymous_B300_r15_c1mini300_20260911T104220Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,15,23,0,,,,294.0,,,budget_exhausted,6.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B300_r16_c1mini300_20260911T104302Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,16,12,0,,,,300.0,,,self_stop,0.0,agent STOP: Budget exhausted; no remaining compute available to complete the parity/reachability classification. The industrial choice is stable on feasible cos
E_llm_agent_anonymous_B300_r17_c1mini300_20260911T104327Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,17,13,0,,,,300.0,,,budget_exhausted,0.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B300_r18_c1mini300_20260911T104351Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,18,28,0,,,,300.0,,,budget_exhausted,0.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B300_r19_c1mini300_20260911T104415Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,19,13,0,,,,300.0,,,budget_exhausted,0.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B300_r1_c1mini300_20260911T103535Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,1,14,0,,,,296.0,,,self_stop,4.0,"agent STOP: Stopping rule satisfied enough for a stable industrial decision: a feasible lowest-cost candidate was identified, the highest-activity candidate was"
E_llm_agent_anonymous_B300_r2_c1mini300_20260911T103606Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,2,12,0,,,,291.0,,,self_stop,9.0,"agent STOP: The decision is stable under the stopping rule: a feasible optimized candidate exists (candidate_13), and the only candidates we could plausibly sti"
E_llm_agent_anonymous_B300_r3_c1mini300_20260911T103651Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,3,11,0,,,,285.0,,,budget_exhausted,15.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B300_r4_c1mini300_20260911T103713Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,4,9,1,216.0,216.0,0.0,216.0,0.0,0.0,self_stop,84.0,"agent STOP: Stopping rule satisfied: a feasible optimized candidate exists (S1), no unresolved candidate remains among the optimized/needed set with exact ranki"
E_llm_agent_anonymous_B300_r5_c1mini300_20260911T103750Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,5,13,0,,,,291.0,,,budget_exhausted,9.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B300_r6_c1mini300_20260911T103811Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,6,12,0,,,,300.0,,,self_stop,0.0,agent STOP: 
E_llm_agent_anonymous_B300_r7_c1mini300_20260911T103834Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,7,12,0,,,,300.0,,,self_stop,0.0,agent STOP: 
E_llm_agent_anonymous_B300_r8_c1mini300_20260911T103902Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,8,18,0,,,,290.0,,,budget_exhausted,10.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B300_r9_c1mini300_20260911T103923Z,E,gpt-5.4-mini-2026-03-17,mini,300.0,9,11,0,,,,300.0,,,self_stop,0.0,agent STOP: STOP requested after decision is stable enough under the budget and remaining unresolved candidate is unlikely to overturn the industrial choice.
E_llm_agent_anonymous_B400_r0_c1mini400_20260911T104605Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,0,14,0,,,,397.0,,,budget_exhausted,3.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B400_r10_c1mini400_20260911T105156Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,10,14,0,,,,372.0,,,budget_exhausted,28.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B400_r11_c1mini400_20260911T105224Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,11,15,1,334.0,334.0,0.0,334.0,0.0,0.0,self_stop,66.0,"agent STOP: Stopping rule satisfied: a feasible optimized industrial candidate exists; all candidates are either optimized or screened/ruled out, and the highes"
E_llm_agent_anonymous_B400_r12_c1mini400_20260911T105255Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,12,9,1,216.0,216.0,0.0,216.0,0.0,0.0,self_stop,184.0,agent STOP: 
E_llm_agent_anonymous_B400_r13_c1mini400_20260911T105321Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,13,16,0,,,,387.0,,,budget_exhausted,13.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B400_r14_c1mini400_20260911T105344Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,14,12,1,274.0,274.0,0.0,274.0,0.0,0.0,self_stop,126.0,agent STOP: Final answer produced via STOP after the required analysis; no further compute needed.
E_llm_agent_anonymous_B400_r15_c1mini400_20260911T105426Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,15,17,0,,,,378.0,,,budget_exhausted,22.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B400_r16_c1mini400_20260911T105453Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,16,16,0,,,,387.0,,,budget_exhausted,13.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B400_r17_c1mini400_20260911T105517Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,17,14,0,,,,372.0,,,budget_exhausted,28.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B400_r18_c1mini400_20260911T105550Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,18,15,0,,,,372.0,,,budget_exhausted,28.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B400_r19_c1mini400_20260911T105621Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,19,19,1,358.0,358.0,0.0,358.0,0.0,0.0,self_stop,42.0,"agent STOP: STOP executed because the industrial decision is stable: a feasible lowest-cost candidate is identified, the candidate set was effectively resolved "
E_llm_agent_anonymous_B400_r1_c1mini400_20260911T104641Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,1,15,0,,,,387.0,,,budget_exhausted,13.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B400_r2_c1mini400_20260911T104710Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,2,16,0,,,,378.0,,,budget_exhausted,22.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B400_r3_c1mini400_20260911T104736Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,3,14,0,,,,372.0,,,budget_exhausted,28.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B400_r4_c1mini400_20260911T104805Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,4,14,0,,,,372.0,,,budget_exhausted,28.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B400_r5_c1mini400_20260911T104833Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,5,18,1,391.0,391.0,0.0,391.0,0.0,0.0,self_stop,9.0,agent STOP: The decision is already stable and the remaining candidates are unlikely to overturn it; the parity/reachability condition for the highest-activity 
E_llm_agent_anonymous_B400_r6_c1mini400_20260911T104945Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,6,10,0,,,,381.0,,,self_stop,19.0,"agent STOP: Budget is effectively exhausted for remaining meaningful actions; only 19 CU remained, insufficient for the next needed optimizations/checks. The de"
E_llm_agent_anonymous_B400_r7_c1mini400_20260911T105010Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,7,16,1,363.0,363.0,0.0,363.0,0.0,0.0,self_stop,37.0,"agent STOP: S1/S2/S3 satisfied: a feasible lowest-cost candidate exists, all candidates are either optimized or screened as infeasible by the bed-volume limit, "
E_llm_agent_anonymous_B400_r8_c1mini400_20260911T105041Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,8,12,1,214.0,272.0,58.0,214.0,0.0,0.0,self_stop,186.0,"agent STOP: Stopping rule satisfied: a feasible optimized industrial winner exists (S1), all unresolved candidates were optimized (S2), and the highest-activity"
E_llm_agent_anonymous_B400_r9_c1mini400_20260911T105126Z,E,gpt-5.4-mini-2026-03-17,mini,400.0,9,14,0,,,,372.0,,,budget_exhausted,28.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r0_c1_20260910T033227Z,E,gpt-5.4-nano-2026-03-17,nano,175.0,0,7,0,,,,155.0,,,self_stop,20.0,agent STOP: Cannot proceed: budget exhausted after one infeasible OPTIMIZE_PROCESS call; no affordable admissible optimization remains that could change the ind
E_llm_agent_anonymous_B175_r10_c1_20260910T033510Z,E,gpt-5.4-nano-2026-03-17,nano,175.0,10,8,0,,,,155.0,,,self_stop,20.0,agent STOP: Budget exhausted; cannot reach decision-stable stopping rule.
E_llm_agent_anonymous_B175_r11_c1_20260910T033533Z,E,gpt-5.4-nano-2026-03-17,nano,175.0,11,7,0,,,,155.0,,,self_stop,20.0,agent STOP: cannot proceed: remaining budget too low to run any additional admissible action with meaningful decision value; candidate_12 is infeasible and no f
E_llm_agent_anonymous_B175_r12_c1_20260910T033549Z,E,gpt-5.4-nano-2026-03-17,nano,175.0,12,10,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r13_c1_20260910T033559Z,E,gpt-5.4-nano-2026-03-17,nano,175.0,13,9,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r14_c1_20260910T033612Z,E,gpt-5.4-nano-2026-03-17,nano,175.0,14,6,0,,,,155.0,,,self_stop,20.0,"agent STOP: Budget exhausted. Only one (infeasible) optimization could be run within the budget, so no feasible lowest-cost candidate can be identified under th"
E_llm_agent_anonymous_B175_r15_c1_20260910T033622Z,E,gpt-5.4-nano-2026-03-17,nano,175.0,15,6,0,,,,155.0,,,self_stop,20.0,"agent STOP: Budget constraint prevented establishing any feasible optimized candidate: candidate_12 optimization was infeasible (min_bed_m3 >> 90 m3), and candi"
E_llm_agent_anonymous_B175_r16_c1_20260910T033640Z,E,gpt-5.4-nano-2026-03-17,nano,175.0,16,8,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r17_c1_20260910T033647Z,E,gpt-5.4-nano-2026-03-17,nano,175.0,17,7,0,,,,155.0,,,self_stop,20.0,agent STOP: budget_exhausted
E_llm_agent_anonymous_B175_r18_c1_20260910T033705Z,E,gpt-5.4-nano-2026-03-17,nano,175.0,18,7,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
E_llm_agent_anonymous_B175_r19_c1_20260910T033714Z,E,gpt-5.4-nano-2026-03-17,nano,175.0,19,10,0,,,,155.0,,,budget_exhausted,20.0,budget_exhausted (3 consecutive unaffordable actions)
