model,variant,budget_CU,run,spent_CU,wrong_winner,wrong_pair,wrong_or_missing_reachability,llm_env_winner_disagree,no_backward,parity_window_relative,parity_not_reported,unresolved_candidate_stop,all_15_optimized,over_confirmation,post_decision_spend_gt_100CU,lever_used,prior_ordered_fe_first,non_canonical_order,narrow_window_used,not_agent_stop,action_errors,malformed_turns,infra_retries,break_even_estimate,break_even_rel_error,unnecessary_CU_fraction,CU_after_stable_winner,why_stop,windows_built,sequence,trace
gpt-5.4-nano-2026-03-17,anonymous,200,0,184.0,True,True,True,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,,,0.31521739130434784,,budget_exhausted (3 consecutive unaffordable actions),"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B200_r0_20260906T020414Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,200,1,184.0,True,True,True,True,True,False,True,True,False,True,False,False,False,True,False,False,True,True,False,,,0.31521739130434784,,agent STOP: Budget exhausted; stopping rule reached due to lack of affordable admissible actions with meaningful decision value remaining.,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B200_r1_20260906T020423Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,200,2,184.0,True,True,True,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,,,0.31521739130434784,,budget_exhausted (3 consecutive unaffordable actions),"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES BUILD_PROCESS_WINDOW COMPUTE_ACTIVITY OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B200_r2_20260906T020443Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,200,3,184.0,True,True,True,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,,,0.31521739130434784,,budget_exhausted (3 consecutive unaffordable actions),"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES BUILD_PROCESS_WINDOW COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B200_r3_20260906T020449Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,200,4,184.0,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,,,0.15760869565217392,0.0,budget_exhausted (3 consecutive unaffordable actions),"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B200_r4_20260906T020458Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,250,0,242.0,False,True,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,True,False,,,0.359504132231405,0.0,"agent STOP: Budget exhausted after partial optimization; remaining unresolved candidates (candidate_04, candidate_05) could not be optimized, so S2/S3 cannot be","[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES INSPECT_CANDIDATES INSPECT_CANDIDATES COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS BACKWARD OPTIMIZE_PROCESS STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B250_r0_20260906T020505Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,250,1,242.0,True,True,True,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,,,0.359504132231405,,budget_exhausted (3 consecutive unaffordable actions),"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES INSPECT_CANDIDATES COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY OPTIMIZE_PROCESS BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B250_r1_20260906T020526Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,250,2,242.0,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,True,True,False,,,0.2396694214876033,29.0,agent STOP: Budget exhausted; remaining unresolved candidate(s) include candidate_05 (not optimized). Highest-activity candidate parity/reachability not fully c,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW READ_PROPERTY_UNCERTAINTY OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS CHECK_MODEL_VALIDITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B250_r2_20260906T020537Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,250,3,242.0,False,True,True,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,,,0.359504132231405,0.0,budget_exhausted (3 consecutive unaffordable actions),"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW READ_PROPERTY_UNCERTAINTY OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B250_r3_20260906T020557Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,250,4,242.0,False,True,True,False,True,False,True,True,False,True,False,False,False,True,False,False,True,True,False,,,0.359504132231405,29.0,"agent STOP: Budget exhausted mid-way: OPTIMIZE_PROCESS(candidate_04) could not run (needed 29 CU, remaining 8 CU). A feasible optimized candidate exists (candid","[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW READ_PROPERTY_UNCERTAINTY OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B250_r4_20260906T020608Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,300,0,300.0,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,,,0.38666666666666666,87.0,budget_exhausted (3 consecutive unaffordable actions),"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B300_r0_20260906T020639Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,300,1,300.0,False,False,True,False,True,False,True,True,False,True,False,False,False,True,False,False,True,True,False,,,0.38666666666666666,29.0,agent STOP: Budget exhausted before candidate_05 could be optimized or dominance/ parity/ reachability could be completed. No further admissible action could be,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW READ_PROPERTY_UNCERTAINTY OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B300_r1_20260906T020653Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,300,2,0.0,True,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,True,True,False,,,,,agent STOP: Cannot execute any allowed computation tools: INSPECT_CANDIDATES tool rejects all attempted valid-looking parameterizations (unexpected keyword argu,[],INSPECT_CANDIDATES INSPECT_CANDIDATES INSPECT_CANDIDATES INSPECT_CANDIDATES STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B300_r2_20260906T020714Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,300,3,242.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,,0.2396694214876033,58.0,agent STOP: Stopping rule satisfied under S1+S2 (feasible optimized winner found; exact dominance shows remaining optimized candidates are dominated). S3 could ,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY READ_COST_BREAKDOWN READ_COST_BREAKDOWN CHECK_MODEL_VALIDITY BACKWARD TEST_REACHABILITY TEST_REACHABILITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B300_r3_20260906T020729Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,300,4,300.0,False,True,True,False,True,False,True,True,False,True,True,False,True,True,False,False,True,False,False,,,0.48333333333333334,145.0,"agent STOP: Budget exhausted during remaining optimizations (candidate_04, candidate_05). Stopping rule S1 holds (a feasible optimized candidate exists). S2 can","[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES BUILD_PROCESS_WINDOW COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B300_r4_20260906T020746Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,500,0,392.0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,201.2234429878986,9.887116682761115e-16,0.5178571428571429,150.0,agent STOP: Stopping rule S1+S2 satisfied with exact dominance checks: current lowest-cost feasible candidate is candidate_13 (15.29 USD/t) and all other optimi,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS READ_COST_BREAKDOWN READ_COST_BREAKDOWN CHECK_MODEL_VALIDITY CHECK_MODEL_VALIDITY BACKWARD TEST_REACHABILITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B500_r0_20260906T020801Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,500,1,367.0,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,201.2234429878986,9.887116682761115e-16,0.47411444141689374,183.0,agent STOP: Stopping rule satisfied: feasible optimized candidate exists; all remaining candidates after optimization were either infeasible or exact-state/domi,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW READ_PROPERTY_UNCERTAINTY OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS READ_COST_BREAKDOWN READ_COST_BREAKDOWN READ_COST_BREAKDOWN CHECK_MODEL_VALIDITY TEST_REACHABILITY BACKWARD TEST_REACHABILITY STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B500_r1_20260906T020829Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,500,2,474.0,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,,,0.6118143459915611,232.0,budget_exhausted (3 consecutive unaffordable actions),"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES INSPECT_CANDIDATES COMPUTE_ACTIVITY READ_PROPERTY_UNCERTAINTY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B500_r2_20260906T020859Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,500,3,392.0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,201.2234429878986,9.887116682761115e-16,0.5178571428571429,179.0,agent STOP: Stopping rule satisfied: a feasible optimized lowest-cost candidate exists (candidate_13). All candidates that could be competitive were optimized; ,"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS BACKWARD TEST_REACHABILITY CHECK_MODEL_VALIDITY READ_COST_BREAKDOWN STOP,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B500_r3_20260906T020921Z\trace.json
gpt-5.4-nano-2026-03-17,anonymous,500,4,474.0,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,True,True,False,False,,,0.6118143459915611,232.0,budget_exhausted (3 consecutive unaffordable actions),"[[""full"", 14136, [20.0, 1000.0]]]",INSPECT_CANDIDATES COMPUTE_ACTIVITY OPTIMIZE_PROCESS BUILD_PROCESS_WINDOW OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS OPTIMIZE_PROCESS,DISCOVER_CROSS_MODEL_V1\gpt-5.4-nano\traces\anonymous\E_llm_agent_anonymous_B500_r4_20260906T020941Z\trace.json
